mutant: coi1 coi1 coi1 coi1 coi1 wt wt wt wt wt wt
condition: control jasmonate jasmonate wounding wounding control jasmonate jasmonate jasmonate wounding wounding
mtime:    0.00   60.00  360.00   30.00  360.00    0.00   60.00  360.00 2880.00   30.00  360.00
At1g18710: 6.56666666666666643e+00 1.61999999999999993e+01 8.59999999999999964e+00 1.50000000000000000e+00 6.30000000000000071e+00 1.19199999999999999e+01 1.68400000000000006e+02 6.03333333333333321e+00 2.55000000000000000e+01 7.45999999999999943e+01 -1.04999999999999982e+00
At1g23080: 4.20333333333333314e+01 2.53999999999999986e+01 6.45499999999999972e+01 2.20000000000000000e+01 8.27500000000000000e+01 4.10399999999999991e+01 1.20000000000000000e+01 4.05333333333333314e+01 1.83999999999999986e+01 1.61999999999999993e+01 8.87500000000000000e+01
At1g74020: 5.73333333333333357e+01 9.50999999999999943e+01 7.02000000000000028e+01 7.60999999999999943e+01 6.92999999999999972e+01 6.62800000000000011e+01 1.12700000000000003e+02 1.33466666666666669e+02 1.37900000000000006e+02 8.69000000000000057e+01 1.04400000000000006e+02
At2g34810: 1.27333333333333343e+01 2.90000000000000000e+01 3.92000000000000028e+01 6.09999999999999964e+00 2.91500000000000021e+01 2.71999999999999993e+01 2.04000000000000000e+02 2.76500000000000000e+02 5.41899999999999977e+02 3.62999999999999972e+01 8.64000000000000057e+01
At4g11290: 3.47999999999999972e+01 3.62000000000000028e+01 6.52500000000000000e+01 4.32000000000000028e+01 5.56500000000000057e+01 3.33200000000000003e+01 3.38999999999999986e+01 7.80000000000000000e+01 5.41000000000000014e+01 3.57000000000000028e+01 7.35999999999999943e+01
At4g22880: 8.46666666666666679e+00 1.50000000000000000e+01 4.26000000000000014e+01 1.03000000000000007e+01 3.47999999999999972e+01 2.05799999999999983e+01 6.47000000000000028e+01 1.52533333333333331e+02 3.48699999999999989e+02 1.53000000000000007e+01 7.02000000000000028e+01
At4g23600: 1.95999999999999979e+01 9.04000000000000057e+01 4.91050000000000011e+02 2.70000000000000018e+00 7.59899999999999977e+02 1.02219999999999999e+02 1.09490000000000009e+03 3.03853333333333330e+03 1.98129999999999995e+03 2.16000000000000000e+02 1.45625000000000000e+03
At5g13930: 5.46433333333333394e+02 6.09299999999999955e+02 4.79049999999999955e+02 5.51500000000000000e+02 4.00299999999999955e+02 4.64640000000000043e+02 8.60200000000000045e+02 7.09000000000000000e+02 1.64850000000000000e+03 6.49600000000000023e+02 6.54500000000000000e+02
At5g19890: 2.10000000000000009e+00 -1.69999999999999996e+00 1.10999999999999996e+01 -1.19999999999999996e+00 1.16000000000000014e+01 4.79999999999999982e+00 4.79999999999999982e+00 6.85000000000000000e+01 1.32000000000000000e+02 2.00000000000000011e-01 1.25999999999999996e+01
At5g57090: 3.27000000000000028e+01 2.05000000000000000e+01 3.87500000000000000e+01 2.78999999999999986e+01 4.37000000000000028e+01 2.78000000000000007e+01 2.70000000000000000e+01 4.46000000000000014e+01 6.05000000000000000e+01 3.01999999999999993e+01 3.93500000000000014e+01
At1g49570: 3.13333333333333330e+00 3.10000000000000009e+00 1.11999999999999993e+01 9.00000000000000022e-01 9.40000000000000036e+00 4.85999999999999943e+00 7.40000000000000036e+00 5.35000000000000000e+01 2.45500000000000000e+02 6.59999999999999964e+00 1.33500000000000014e+01
At4g11320: 3.67600000000000023e+02 3.89199999999999989e+02 3.36899999999999977e+02 3.92500000000000000e+02 2.50650000000000006e+02 4.47879999999999995e+02 4.27699999999999989e+02 9.10566666666666720e+02 6.08200000000000045e+02 4.12699999999999989e+02 5.21200000000000045e+02
At3g23050: 5.31333333333333258e+02 3.73000000000000000e+02 3.63049999999999955e+02 5.04199999999999989e+02 3.52199999999999989e+02 4.54779999999999973e+02 4.11600000000000023e+02 1.68699999999999989e+02 1.25400000000000006e+02 4.42800000000000011e+02 2.84949999999999989e+02
At4g17880: 4.35333333333333314e+01 1.11900000000000006e+02 4.33500000000000014e+01 3.47999999999999972e+01 2.30000000000000000e+01 4.26199999999999974e+01 9.65000000000000000e+01 2.18999999999999986e+01 3.36000000000000014e+01 5.35000000000000000e+01 2.35999999999999979e+01
At5g62470: 4.21666666666666714e+01 7.27000000000000028e+01 2.94500000000000028e+01 1.25900000000000006e+02 4.03500000000000014e+01 3.28999999999999986e+01 5.57000000000000028e+01 1.02333333333333325e+01 3.08999999999999986e+01 7.42000000000000028e+01 2.10500000000000007e+01
