	"MYC2"	"AtAIB"	"TAT3"	"JAZ1"	"JAZ10"	"DIN11"	"At1g66690"	"At1g53885"	"PDF1.2b"
"wt_mock_0.0h"	0.69	0.8	2.58	0.73	1.58	1.87	1.22	1.51	10.56
"wt_mock_0.0h"	0.58	0.89	1.96	0.75	1.47	1.42	1.44	0.99	10.36
"wt_mock_0.0h"	0.45	0.83	2.79	0.83	1.51	1.64	1.59	1.54	12.97
"wt_mock_0.5h"	0.69	0.88	0.96	0.87	0.71	5.4	2.91	1.22	10.84
"wt_mock_0.5h"	0.49	0.78	0.97	1.01	0.56	6.9	2.09	1.38	11.7
"wt_mock_0.5h"	0.58	0.87	1.03	0.86	0.75	6.35	1.79	1.46	11.88
"wt_mock_1h"	2.87	1.73	0.21	1.08	3.35	0.38	2.51	6.25	12.83
"wt_mock_1h"	2.13	1.78	0.2	2.01	2.15	0.55	3.83	6.11	13.34
"wt_mock_1h"	2.56	2.11	0.26	2.13	3.33	0.52	3.55	8.61	13.12
"wt_mock_3h"	1.2	2.23	0.16	0.2	0.53	0.5	2.89	8.02	11.84
"wt_mock_3h"	1.41	1.7	0.21	0.16	0.53	0.56	3.53	6.21	13.25
"wt_mock_3h"	0.96	2.42	0.2	0.13	0.57	0.89	3.18	5.71	13.59
"wt_mock_6h"	0.8	1.72	0.03	0.22	0.11	1.03	3.17	6.77	20.53
"wt_mock_6h"	0.98	3.09	0.06	0.14	0.04	0.33	2.25	5.44	20.2
"wt_mock_6h"	0.88	3.19	0.01	0.75	0.04	0.38	2.67	6.88	24.52
"wt_MJ_0.0h"	0.69	0.8	2.58	0.73	1.58	1.87	1.22	1.51	10.56
"wt_MJ_0.0h"	0.58	0.89	1.96	0.75	1.47	1.42	1.44	0.99	10.36
"wt_MJ_0.0h"	0.45	0.83	2.79	"+   }"	1.51	1.64	1.59	1.54	12.97
"wt_MJ_0.5h"	2.12	4.31	4.97	18.71	15.25	16.98	5.77	30.44	22.57
"wt_MJ_0.5h"	3.4	7.34	5.55	18.48	18.13	12.02	5.61	25.78	23.11
"wt_MJ_0.5h"	3.16	6.94	8.2	14.05	15.38	12.58	4.52	19.84	25.51
"wt_MJ_1h"	4.4	2.19	0.93	0.68	24.93	0.4	11.87	26.11	25.89
"wt_MJ_1h"	5.39	2.43	0.87	1.07	32.03	0.54	11.05	19.62	20.46
"wt_MJ_1h"	4.89	2.78	0.94	0.87	26.02	0.51	10.31	19.77	22.03
"wt_MJ_3h"	3.72	2.52	1.74	0.22	11.14	1.03	7.73	7.54	33.6
"wt_MJ_3h"	3.33	3.25	2.1	0.21	15.85	1.41	7.81	10.52	28.19
"wt_MJ_3h"	3.52	3.84	2.27	0.27	14.57	1.75	8.81	7.52	28.21
"wt_MJ_6h"	3.38	2.5	3.6	0.94	10.64	2.06	8.84	7.85	40.06
"wt_MJ_6h"	3.97	4.24	3.88	0.51	9.71	1.42	8.77	5.05	34.9
"wt_MJ_6h"	3.49	3.79	4.11	0.66	9.55	1.31	6.02	6.6	38.96
"jin1_mock_0.0h"	0.67	0.88	0.99	0.46	0.53	0.73	1.85	1.49	12.46
"jin1_mock_0.0h"	0.57	0.8	1.13	0.66	0.44	1.16	1.65	2.76	11.47
"jin1_mock_0.0h"	0.65	0.89	0.89	0.51	0.58	0.69	1.35	2.42	9.16
"jin1_mock_0.5h"	0.39	0.74	0.48	1.82	0.6	3.37	2.01	5.76	7.18
"jin1_mock_0.5h"	0.35	0.99	0.44	2.41	0.72	4.28	2.13	5.68	7.74
